ClassId,SignName,SmallName
0,Speed limit (20km/h),20km/h
1,Speed limit (30km/h),30km/h
2,Speed limit (50km/h),50km/h
3,Speed limit (60km/h),60km/h
4,Speed limit (70km/h),70km/h
5,Speed limit (80km/h),80km/h
6,End of speed limit (80km/h),End 80km/h
7,Speed limit (100km/h),100km/h
8,Speed limit (120km/h),120km/h
9,No passing,No passing
10,No passing for vehicles over 3.5 metric tons,No passing +3.5t
11,Right-of-way at the next intersection,Right-of-way
12,Priority road,Priority road
13,Yield,Yield
14,Stop,Stop
15,No vehicles,No vehicles
16,Vehicles over 3.5 metric tons prohibited,"No +3,5t"
17,No entry,No entry
18,General caution,Caution
19,Dangerous curve to the left,Dang. Curve left
20,Dangerous curve to the right,Dang. Curve right
21,Double curve,Double curve
22,Bumpy road,Bumpy road
23,Slippery road,Slippery road
24,Road narrows on the right,Narrows right
25,Road work,Road work
26,Traffic signals,Traffic signals
27,Pedestrians,Pedestrians
28,Children crossing,Children crossing
29,Bicycles crossing,Bicycles crossing
30,Beware of ice/snow,Ice/snow
31,Wild animals crossing,Animal crossing
32,End of all speed and passing limits,End speed/passing
33,Turn right ahead,Turn right ahead
34,Turn left ahead,Turn left ahead
35,Ahead only,Ahead only
36,Go straight or right,Straight or right
37,Go straight or left,Straight or left
38,Keep right,Keep right
39,Keep left,Keep left
40,Roundabout mandatory,Roundabout
41,End of no passing,End no passing
42,End of no passing by vehicles over 3.5 metric tons,End no passing +3.5t
